Date,Year,DOY,year_DOY,NEE
2010.497268,2010,182,2010_182,-2.280750023
2010.5,2010,183,2010_183,-0.725654863
2010.502732,2010,184,2010_184,-2.043388044
2010.505464,2010,185,2010_185,-0.201024995
2010.508197,2010,186,2010_186,-0.8543599
2010.510929,2010,187,2010_187,-0.541487228
2010.513661,2010,188,2010_188,-1.60095913
2010.516393,2010,189,2010_189,-1.080950576
2010.519126,2010,190,2010_190,-2.087204356
2010.521858,2010,191,2010_191,-1.427486492
2010.52459,2010,192,2010_192,-1.91525654
2010.527322,2010,193,2010_193,-2.454094373
2010.530055,2010,194,2010_194,-1.961994697
2010.532787,2010,195,2010_195,-2.003042118
2010.535519,2010,196,2010_196,-1.165808038
2010.538251,2010,197,2010_197,-0.838395492
2010.540984,2010,198,2010_198,-1.066352449
2010.543716,2010,199,2010_199,-0.585537112
2010.546448,2010,200,2010_200,-1.52792195
2010.54918,2010,201,2010_201,-1.805694043
2010.551913,2010,202,2010_202,-1.282287478
2010.554645,2010,203,2010_203,-2.093927682
2010.557377,2010,204,2010_204,-1.95487869
2010.560109,2010,205,2010_205,-1.305241481
2010.562842,2010,206,2010_206,-1.95721781
2010.565574,2010,207,2010_207,-1.692908937
2010.568306,2010,208,2010_208,-1.265553843
2010.571038,2010,209,2010_209,-0.131321343
2010.57377,2010,210,2010_210,-1.466721562
2010.576503,2010,211,2010_211,-1.376600829
2010.579235,2010,212,2010_212,-1.381602875
2010.581967,2010,213,2010_213,-0.332555269
2010.584699,2010,214,2010_214,-1.348051163
2010.587432,2010,215,2010_215,-1.266795293
2010.590164,2010,216,2010_216,-0.356624761
2010.592896,2010,217,2010_217,0.607024228
2010.595628,2010,218,2010_218,-0.668022993
2010.598361,2010,219,2010_219,-0.354544416
2010.601093,2010,220,2010_220,-1.04962001
2010.603825,2010,221,2010_221,-0.469650888
2010.606557,2010,222,2010_222,-1.737869183
2010.60929,2010,223,2010_223,-0.886838255
2010.612022,2010,224,2010_224,-0.979815511
2010.614754,2010,225,2010_225,-1.267724715
2010.617486,2010,226,2010_226,-1.093951583
2010.620219,2010,227,2010_227,-0.177997394
2010.622951,2010,228,2010_228,0.162623092
2010.625683,2010,229,2010_229,-0.804679512
2010.628415,2010,230,2010_230,0.493559643
2010.631148,2010,231,2010_231,0.077365966
2010.63388,2010,232,2010_232,-0.3349936
2010.636612,2010,233,2010_233,-0.299554617
2010.639344,2010,234,2010_234,-1.44740562
2010.642077,2010,235,2010_235,-0.894991941
2010.644809,2010,236,2010_236,-0.915870735
2010.647541,2010,237,2010_237,-0.785624169
2010.650273,2010,238,2010_238,-0.543530553
2010.653005,2010,239,2010_239,-0.458052432
2010.655738,2010,240,2010_240,-0.484353835
2010.65847,2010,241,2010_241,-0.383594632
2010.661202,2010,242,2010_242,-0.115738016
2010.663934,2010,243,2010_243,-0.440386965
2010.666667,2010,244,2010_244,NA
2011.418033,2011,153,2011_153,NA
2011.420765,2011,154,2011_154,NA
2011.423497,2011,155,2011_155,NA
2011.42623,2011,156,2011_156,NA
2011.428962,2011,157,2011_157,NA
2011.431694,2011,158,2011_158,NA
2011.434426,2011,159,2011_159,NA
2011.437158,2011,160,2011_160,NA
2011.439891,2011,161,2011_161,NA
2011.442623,2011,162,2011_162,NA
2011.445355,2011,163,2011_163,NA
2011.448087,2011,164,2011_164,NA
2011.45082,2011,165,2011_165,NA
2011.453552,2011,166,2011_166,NA
2011.456284,2011,167,2011_167,NA
2011.459016,2011,168,2011_168,NA
2011.461749,2011,169,2011_169,NA
2011.464481,2011,170,2011_170,NA
2011.467213,2011,171,2011_171,NA
2011.469945,2011,172,2011_172,NA
2011.472678,2011,173,2011_173,NA
2011.47541,2011,174,2011_174,NA
2011.478142,2011,175,2011_175,NA
2011.480874,2011,176,2011_176,NA
2011.483607,2011,177,2011_177,NA
2011.486339,2011,178,2011_178,NA
2011.489071,2011,179,2011_179,NA
2011.491803,2011,180,2011_180,NA
2011.494536,2011,181,2011_181,NA
2011.497268,2011,182,2011_182,NA
2011.5,2011,183,2011_183,NA
2011.502732,2011,184,2011_184,NA
2011.505464,2011,185,2011_185,NA
2011.508197,2011,186,2011_186,NA
