"","kplant","LitterRate","UptakeRate","propN_fol","propN_roots","netNrate","q10"
"kplant",1,0.0303363992915652,-0.00537426130779849,0.00169330256504816,0.0300440060733374,0.00600120495721426,0.057990869652507
"LitterRate",0.0303363992915652,1,0.0821740789109582,0.400758908534612,0.0737948002149068,0.586282034611073,0.0740313397174954
"UptakeRate",-0.00537426130779849,0.0821740789109582,1,0.0354472175269199,-0.0429429879185277,0.0363167682561737,-0.0110970008360422
"propN_fol",0.00169330256504816,0.400758908534612,0.0354472175269199,1,0.0258252618866585,-0.219175956769491,-0.0529556790595644
"propN_roots",0.0300440060733374,0.0737948002149068,-0.0429429879185277,0.0258252618866585,1,0.0153710745223392,-0.013622522470849
"netNrate",0.00600120495721426,0.586282034611073,0.0363167682561737,-0.219175956769491,0.0153710745223392,1,-0.0772640296004697
"q10",0.057990869652507,0.0740313397174954,-0.0110970008360422,-0.0529556790595644,-0.013622522470849,-0.0772640296004697,1
