Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI,Temp,PAR,PAR_vis,LAI,Re_mod1,Re_mod2,Re_mod3,Resid1,Resid2,Resid3,,Re params,ER1,ER2,ER3
2009.472678,2009,174,174,2009_174,-2.336255524,1.302786653,3.639042178,0.643504009,11.32,35.14165475,35.14165475,0.470563014,1.07609605,1.323339649,1.295804766,0.051388629,0.000422426,4.87E-05,,,,,
2009.47541,2009,175,175,2009_175,-1.75718787,1.257279304,3.014467174,0.631692111,14.44,39.82543438,39.82543438,0.427737558,1.031460683,1.337782034,1.340609611,0.05099405,0.006480689,0.00694394,,,,,
2009.478142,2009,176,176,2009_176,-0.590162312,1.451766763,2.041929074,0.600679487,14.74,37.12598609,37.12598609,0.332946077,0.806983724,1.269544222,1.27798106,0.415745168,0.033205055,0.030201471,,,,,
2009.480874,2009,177,177,2009_177,-1.203621674,1.554581978,2.758203652,0.62886271,9.79,16.71685108,16.71685108,0.418071753,0.931503754,1.270518516,1.224558123,0.388226474,0.08069205,0.108915745,,,,,
2009.483607,2009,178,178,2009_178,-2.448436046,1.895157549,4.343593594,0.628236781,7.032,22.11129601,22.11129601,0.415963133,0.884341585,1.239338221,1.162838661,1.021748912,0.430098991,0.536290954,,,,,
2009.486339,2009,179,179,2009_179,-1.89123768,1.828279631,3.719517311,0.64761553,9.45,30.85708929,30.85708929,0.486454796,1.077619103,1.307871633,1.262795553,0.563491228,0.270824484,0.319772243,,,,,
2009.489071,2009,180,180,2009_180,-1.564014608,1.894458973,3.458473581,0.602068551,15.64,46.95483954,46.95483954,0.336703197,0.828676183,1.283144969,1.302060033,1.135892955,0.373704812,0.350936505,,,,,
2009.491803,2009,181,181,2009_181,-2.190271563,1.84339144,4.033663004,0.614220841,16.17,41.93732308,41.93732308,0.371434176,0.922430538,1.318064749,1.34110744,0.848168983,0.275968133,0.252289217,,,,,
2009.494536,2009,182,182,2009_182,-1.992283836,1.760119881,3.752403717,0.617168144,17.82,41.27423945,41.27423945,0.380383846,0.971537508,1.349480368,1.389282657,0.621862159,0.16862481,0.137520246,,,,,
2009.497268,2009,183,183,2009_183,-2.323836947,1.6504434,3.974280346,0.614607248,18.85,53.8667316,53.8667316,0.372595424,0.968460368,1.358271527,1.409557734,0.465100856,0.085364403,0.058025904,,,,,
2009.5,2009,184,184,2009_184,-2.351873788,1.662860081,4.014733868,0.626125066,16.9,57.63085139,57.63085139,0.408927372,1.028227559,1.3599458,1.387987163,0.402758438,0.091757061,0.075555121,,,,,
